order_id,order_date,ship_date,Category,sub_category,Region,Sales,Profit,Quantity
US-2015-150630,2015-09-17,2015-09-21,Office Supplies,Art,East,86.304,9.7092,6
US-2015-150630,2015-09-17,2015-09-21,Office Supplies,Binders,East,6.858,-5.715,6
US-2015-150630,2015-09-17,2015-09-21,Office Supplies,Art,East,15.76,3.546,2
CA-2017-107727,2017-10-19,2017-10-23,Office Supplies,Paper,Central,29.472,9.9468,3
CA-2016-117590,2016-12-08,2016-12-10,Technology,Phones,Central,1097.544,123.4737,7
CA-2016-117590,2016-12-08,2016-12-10,Furniture,Furnishings,Central,190.92,-147.963,5
CA-2015-117415,2015-12-27,2015-12-31,Office Supplies,Envelopes,Central,113.328,35.415,9
CA-2015-117415,2015-12-27,2015-12-31,Furniture,Bookcases,Central,532.3992,-46.9764,3
CA-2015-117415,2015-12-27,2015-12-31,Furniture,Chairs,Central,212.058,-15.147,3
CA-2015-117415,2015-12-27,2015-12-31,Technology,Phones,Central,371.168,41.7564,4
CA-2017-120999,2017-09-10,2017-09-15,Technology,Phones,Central,147.168,16.5564,4
CA-2016-101343,2016-07-17,2016-07-22,Office Supplies,Storage,West,77.88,3.894,2
CA-2017-139619,2017-09-19,2017-09-23,Office Supplies,Storage,South,95.616,9.5616,2
CA-2016-118255,2016-03-11,2016-03-13,Technology,Accessories,Central,45.98,19.7714,2
CA-2016-118255,2016-03-11,2016-03-13,Office Supplies,Binders,Central,17.46,8.2062,2
CA-2014-146703,2014-10-20,2014-10-25,Office Supplies,Storage,Central,211.96,8.4784,4
CA-2016-169194,2016-06-20,2016-06-25,Technology,Accessories,East,45,4.95,3
CA-2016-169194,2016-06-20,2016-06-25,Technology,Phones,East,21.8,6.104,2
CA-2015-115742,2015-04-18,2015-04-22,Office Supplies,Binders,Central,38.22,17.9634,6
CA-2015-115742,2015-04-18,2015-04-22,Office Supplies,Labels,Central,75.18,35.3346,6
CA-2015-115742,2015-04-18,2015-04-22,Furniture,Furnishings,Central,6.16,2.9568,2
CA-2015-115742,2015-04-18,2015-04-22,Furniture,Chairs,Central,89.99,17.0981,1
CA-2016-105816,2016-12-11,2016-12-17,Office Supplies,Fasteners,East,15.26,6.2566,7
CA-2016-105816,2016-12-11,2016-12-17,Technology,Phones,East,1029.95,298.6855,5
CA-2016-111682,2016-06-17,2016-06-18,Office Supplies,Storage,East,208.56,52.14,6
CA-2016-111682,2016-06-17,2016-06-18,Office Supplies,Paper,East,32.4,15.552,5
CA-2016-111682,2016-06-17,2016-06-18,Furniture,Chairs,East,319.41,7.098,5
CA-2016-111682,2016-06-17,2016-06-18,Office Supplies,Paper,East,14.56,6.9888,2
CA-2016-111682,2016-06-17,2016-06-18,Technology,Accessories,East,30,3.3,2
CA-2016-111682,2016-06-17,2016-06-18,Office Supplies,Binders,East,48.48,16.362,4
CA-2016-111682,2016-06-17,2016-06-18,Office Supplies,Art,East,1.68,0.84,1
CA-2015-135545,2015-11-24,2015-11-30,Technology,Accessories,West,13.98,6.1512,2
CA-2015-135545,2015-11-24,2015-11-30,Office Supplies,Binders,West,25.824,9.3612,6
CA-2015-135545,2015-11-24,2015-11-30,Office Supplies,Paper,West,146.73,68.9631,3
CA-2015-135545,2015-11-24,2015-11-30,Furniture,Furnishings,West,79.76,22.3328,4
US-2015-164175,2015-04-30,2015-05-05,Furniture,Chairs,Central,213.115,-15.2225,5
CA-2014-106376,2014-12-05,2014-12-10,Office Supplies,Art,West,1113.024,111.3024,8
CA-2014-106376,2014-12-05,2014-12-10,Technology,Phones,West,167.968,62.988,4
CA-2016-119823,2016-06-04,2016-06-06,Office Supplies,Paper,South,75.88,35.6636,2
CA-2016-106075,2016-09-18,2016-09-23,Office Supplies,Binders,East,4.616,1.731,1
CA-2017-114440,2017-09-14,2017-09-17,Office Supplies,Paper,Central,19.05,8.763,3
US-2015-134026,2015-04-26,2015-05-02,Furniture,Chairs,South,831.936,-114.3912,8
US-2015-134026,2015-04-26,2015-05-02,Furniture,Furnishings,South,97.04,1.213,2
US-2015-134026,2015-04-26,2015-05-02,Office Supplies,Storage,South,72.784,-18.196,1
US-2017-118038,2017-12-09,2017-12-11,Office Supplies,Binders,Central,1.248,-1.9344,3
US-2017-118038,2017-12-09,2017-12-11,Furniture,Furnishings,Central,9.708,-5.8248,3
US-2017-118038,2017-12-09,2017-12-11,Office Supplies,Storage,Central,27.24,2.724,3
US-2014-147606,2014-11-26,2014-12-01,Furniture,Furnishings,Central,19.3,-14.475,5
CA-2016-127208,2016-06-12,2016-06-15,Office Supplies,Appliances,South,208.16,56.2032,1
CA-2016-127208,2016-06-12,2016-06-15,Office Supplies,Binders,South,16.74,8.0352,3
CA-2014-139451,2014-10-12,2014-10-16,Office Supplies,Art,West,14.9,4.172,5
CA-2014-139451,2014-10-12,2014-10-16,Office Supplies,Storage,West,21.39,6.2031,1
CA-2015-149734,2015-09-03,2015-09-08,Office Supplies,Envelopes,South,200.984,62.8075,7
US-2017-119662,2017-11-13,2017-11-16,Office Supplies,Storage,Central,230.376,-48.9549,3
CA-2017-140088,2017-05-28,2017-05-30,Furniture,Chairs,South,301.96,33.2156,2
CA-2017-155558,2017-10-26,2017-11-02,Technology,Accessories,Central,19.99,6.7966,1
CA-2017-155558,2017-10-26,2017-11-02,Office Supplies,Labels,Central,6.16,2.9568,2
CA-2016-159695,2016-04-05,2016-04-10,Office Supplies,Storage,Central,158.368,13.8572,7
CA-2016-109806,2016-09-17,2016-09-22,Office Supplies,Art,West,20.1,6.633,3
CA-2016-109806,2016-09-17,2016-09-22,Technology,Phones,West,73.584,8.2782,2
CA-2016-109806,2016-09-17,2016-09-22,Office Supplies,Paper,West,6.48,3.1104,1
CA-2015-149587,2015-01-31,2015-02-05,Office Supplies,Paper,Central,12.96,6.2208,2
CA-2015-149587,2015-01-31,2015-02-05,Furniture,Furnishings,Central,53.34,16.5354,3
CA-2015-149587,2015-01-31,2015-02-05,Office Supplies,Binders,Central,32.96,16.1504,2
US-2017-109484,2017-11-06,2017-11-12,Office Supplies,Binders,West,5.682,-3.788,1
CA-2017-161018,2017-11-09,2017-11-11,Furniture,Furnishings,East,96.53,40.5426,7
CA-2017-157833,2017-06-17,2017-06-20,Office Supplies,Binders,West,51.312,17.9592,3
CA-2016-149223,2016-09-06,2016-09-11,Office Supplies,Appliances,Central,77.88,22.5852,6
CA-2016-158568,2016-08-29,2016-09-02,Office Supplies,Paper,Central,64.624,22.6184,7
CA-2016-158568,2016-08-29,2016-09-02,Technology,Accessories,Central,95.976,-10.7973,3
CA-2016-158568,2016-08-29,2016-09-02,Office Supplies,Binders,Central,1.788,-3.0396,3
CA-2016-129903,2016-12-01,2016-12-04,Office Supplies,Paper,Central,23.92,11.7208,4
US-2015-156867,2015-11-13,2015-11-17,Technology,Accessories,West,238.896,-26.8758,6
US-2015-156867,2015-11-13,2015-11-17,Furniture,Furnishings,West,102.36,-3.8385,3
US-2015-156867,2015-11-13,2015-11-17,Office Supplies,Binders,West,36.882,-25.8174,3
CA-2017-119004,2017-11-23,2017-11-28,Technology,Accessories,South,74.112,17.6016,8
CA-2017-119004,2017-11-23,2017-11-28,Technology,Phones,South,27.992,2.0994,1
CA-2017-119004,2017-11-23,2017-11-28,Office Supplies,Art,South,3.304,1.0738,1
CA-2015-129476,2015-10-15,2015-10-20,Technology,Accessories,Central,339.96,67.992,5
CA-2017-146780,2017-12-25,2017-12-30,Furniture,Furnishings,East,41.96,10.9096,2
CA-2016-128867,2016-11-03,2016-11-10,Office Supplies,Art,Central,75.96,22.788,2
CA-2016-128867,2016-11-03,2016-11-10,Office Supplies,Binders,Central,27.24,13.3476,6
CA-2014-115259,2014-08-25,2014-08-27,Office Supplies,Fasteners,East,40.096,14.5348,14
CA-2014-115259,2014-08-25,2014-08-27,Office Supplies,Envelopes,East,4.72,1.652,2
CA-2014-115259,2014-08-25,2014-08-27,Office Supplies,Paper,East,23.976,7.4925,3
CA-2014-115259,2014-08-25,2014-08-27,Office Supplies,Envelopes,East,130.464,44.0316,6
CA-2015-110457,2015-03-02,2015-03-06,Furniture,Tables,West,787.53,165.3813,3
US-2015-136476,2015-04-05,2015-04-10,Office Supplies,Binders,South,157.794,-115.7156,1
CA-2016-103730,2016-06-12,2016-06-15,Furniture,Furnishings,East,47.04,18.3456,3
CA-2016-103730,2016-06-12,2016-06-15,Office Supplies,Binders,East,30.84,13.878,4
CA-2016-103730,2016-06-12,2016-06-15,Office Supplies,Storage,East,226.56,63.4368,6
CA-2016-103730,2016-06-12,2016-06-15,Office Supplies,Envelopes,East,115.02,51.759,9
CA-2016-103730,2016-06-12,2016-06-15,Technology,Phones,East,68.04,19.7316,7
US-2014-152030,2014-12-26,2014-12-28,Furniture,Chairs,Central,600.558,-8.5794,3
US-2014-134614,2014-09-20,2014-09-25,Furniture,Tables,Central,617.7,-407.682,6
US-2017-107272,2017-11-05,2017-11-12,Office Supplies,Binders,West,2.388,-1.8308,2
US-2017-107272,2017-11-05,2017-11-12,Office Supplies,Storage,West,243.992,30.499,7
US-2016-125969,2016-11-06,2016-11-10,Furniture,Chairs,West,81.424,-9.1602,2
US-2016-125969,2016-11-06,2016-11-10,Furniture,Furnishings,West,238.56,26.2416,3
US-2017-164147,2017-02-02,2017-02-05,Technology,Phones,East,59.97,-11.994,5
US-2017-164147,2017-02-02,2017-02-05,Office Supplies,Paper,East,78.304,29.364,2
US-2017-164147,2017-02-02,2017-02-05,Office Supplies,Fasteners,East,21.456,6.9732,9
CA-2016-145583,2016-10-13,2016-10-19,Office Supplies,Paper,West,20.04,9.6192,3
CA-2016-145583,2016-10-13,2016-10-19,Office Supplies,Paper,West,35.44,16.6568,1
CA-2016-145583,2016-10-13,2016-10-19,Office Supplies,Art,West,11.52,3.456,4
CA-2016-145583,2016-10-13,2016-10-19,Office Supplies,Fasteners,West,4.02,1.9698,2
CA-2016-145583,2016-10-13,2016-10-19,Office Supplies,Binders,West,76.176,26.6616,3
CA-2016-145583,2016-10-13,2016-10-19,Office Supplies,Supplies,West,65.88,18.4464,6
CA-2016-145583,2016-10-13,2016-10-19,Furniture,Furnishings,West,43.12,20.6976,14
CA-2016-110366,2016-09-05,2016-09-07,Furniture,Furnishings,East,82.8,10.35,2
CA-2017-106180,2017-09-18,2017-09-23,Office Supplies,Art,West,8.82,2.3814,3
CA-2017-106180,2017-09-18,2017-09-23,Office Supplies,Envelopes,West,10.86,5.1042,3
CA-2017-106180,2017-09-18,2017-09-23,Office Supplies,Paper,West,143.7,68.976,3
CA-2017-155376,2017-12-22,2017-12-27,Office Supplies,Appliances,Central,839.43,218.2518,3
CA-2015-110744,2015-09-07,2015-09-12,Office Supplies,Storage,West,671.93,20.1579,7
CA-2014-110072,2014-10-22,2014-10-28,Furniture,Furnishings,East,93.888,12.9096,4
CA-2016-114489,2016-12-05,2016-12-09,Technology,Phones,Central,384.45,103.8015,11
CA-2016-114489,2016-12-05,2016-12-09,Technology,Phones,Central,149.97,5.9988,3
CA-2016-114489,2016-12-05,2016-12-09,Furniture,Chairs,Central,1951.84,585.552,8
CA-2016-114489,2016-12-05,2016-12-09,Office Supplies,Binders,Central,171.55,80.6285,5
CA-2016-158834,2016-03-13,2016-03-16,Office Supplies,Appliances,West,157.92,17.766,5
CA-2016-158834,2016-03-13,2016-03-16,Technology,Phones,West,203.184,15.2388,2
CA-2015-124919,2015-05-31,2015-06-02,Office Supplies,Paper,West,58.38,26.271,7
CA-2015-124919,2015-05-31,2015-06-02,Office Supplies,Paper,West,105.52,48.5392,4
CA-2015-124919,2015-05-31,2015-06-02,Office Supplies,Storage,West,80.88,21.0288,6
CA-2015-118948,2015-05-28,2015-06-03,Office Supplies,Art,West,6.63,1.7901,3
CA-2014-104269,2014-03-01,2014-03-06,Furniture,Chairs,West,457.568,51.4764,2
CA-2016-114104,2016-11-20,2016-11-24,Office Supplies,Labels,Central,14.62,6.8714,2
CA-2016-114104,2016-11-20,2016-11-24,Technology,Phones,Central,944.93,236.2325,7
CA-2016-162733,2016-05-11,2016-05-12,Office Supplies,Paper,West,5.98,2.691,1
CA-2015-119697,2015-12-28,2015-12-31,Technology,Accessories,East,54.384,1.3596,2
CA-2016-154508,2016-11-16,2016-11-20,Office Supplies,Envelopes,West,28.4,13.348,5
CA-2016-113817,2016-11-07,2016-11-11,Office Supplies,Binders,West,27.68,9.688,2
CA-2014-139892,2014-09-08,2014-09-12,Office Supplies,Art,Central,9.936,2.7324,3
CA-2014-139892,2014-09-08,2014-09-12,Technology,Machines,Central,8159.952,-1359.992,8
CA-2014-139892,2014-09-08,2014-09-12,Office Supplies,Storage,Central,275.928,-58.6347,3
CA-2014-139892,2014-09-08,2014-09-12,Furniture,Chairs,Central,1740.06,-24.858,9
CA-2014-139892,2014-09-08,2014-09-12,Office Supplies,Art,Central,32.064,6.8136,6
CA-2014-139892,2014-09-08,2014-09-12,Office Supplies,Appliances,Central,177.98,-453.849,5
CA-2014-139892,2014-09-08,2014-09-12,Technology,Phones,Central,143.976,8.9985,3
CA-2014-118962,2014-08-05,2014-08-09,Office Supplies,Paper,West,20.94,9.8418,3
CA-2014-118962,2014-08-05,2014-08-09,Office Supplies,Paper,West,110.96,53.2608,2
CA-2014-118962,2014-08-05,2014-08-09,Furniture,Chairs,West,340.144,21.259,7
US-2014-100853,2014-09-14,2014-09-19,Office Supplies,Appliances,Central,52.448,-131.12,2
US-2014-100853,2014-09-14,2014-09-19,Office Supplies,Labels,Central,20.16,6.552,4
US-2017-152366,2017-04-21,2017-04-25,Office Supplies,Appliances,Central,97.264,-243.16,4
US-2015-101511,2015-11-21,2015-11-23,Furniture,Chairs,East,396.802,-11.3372,7
US-2015-101511,2015-11-21,2015-11-23,Office Supplies,Supplies,East,15.88,-3.7715,5
CA-2015-137225,2015-12-15,2015-12-19,Office Supplies,Art,East,3.28,1.4104,1
CA-2014-166191,2014-12-05,2014-12-09,Office Supplies,Storage,Central,24.816,1.8612,2
CA-2014-166191,2014-12-05,2014-12-09,Technology,Accessories,Central,408.744,76.6395,7
CA-2014-158274,2014-11-19,2014-11-24,Technology,Phones,South,503.96,131.0296,4
CA-2014-158274,2014-11-19,2014-11-24,Technology,Phones,South,149.95,41.986,5
CA-2014-158274,2014-11-19,2014-11-24,Technology,Accessories,South,29,7.25,2
CA-2016-105018,2016-11-28,2016-12-02,Office Supplies,Binders,East,7.16,3.4368,2
CA-2014-123260,2014-08-26,2014-08-30,Technology,Accessories,West,176.8,22.984,8
CA-2016-157000,2016-07-16,2016-07-22,Office Supplies,Storage,Central,37.224,3.7224,3
CA-2016-157000,2016-07-16,2016-07-22,Office Supplies,Paper,Central,20.016,6.255,3
CA-2015-102281,2015-10-12,2015-10-14,Furniture,Bookcases,East,899.136,112.392,4
CA-2015-102281,2015-10-12,2015-10-14,Technology,Phones,East,71.76,20.0928,6
CA-2015-102281,2015-10-12,2015-10-14,Office Supplies,Paper,East,51.84,24.8832,8
CA-2015-102281,2015-10-12,2015-10-14,Furniture,Bookcases,East,626.352,46.9764,3
CA-2015-102281,2015-10-12,2015-10-14,Office Supplies,Art,East,19.9,6.567,5
CA-2015-131457,2015-10-31,2015-11-06,Office Supplies,Envelopes,West,14.28,6.7116,7
CA-2014-140004,2014-03-21,2014-03-25,Office Supplies,Art,East,7.408,1.2038,2
CA-2014-140004,2014-03-21,2014-03-25,Office Supplies,Art,East,6.048,1.5876,3
CA-2017-107720,2017-11-06,2017-11-13,Office Supplies,Storage,East,46.26,12.0276,3
US-2017-124303,2017-07-06,2017-07-13,Office Supplies,Binders,East,2.946,-2.2586,2
US-2017-124303,2017-07-06,2017-07-13,Office Supplies,Paper,East,16.056,5.8203,3
CA-2017-105074,2017-06-24,2017-06-29,Office Supplies,Paper,East,21.744,6.795,3
CA-2014-133690,2014-08-03,2014-08-05,Furniture,Tables,West,218.75,-161.875,2
CA-2014-133690,2014-08-03,2014-08-05,Office Supplies,Appliances,West,2.6,0.2925,1
US-2017-116701,2017-12-17,2017-12-21,Office Supplies,Appliances,Central,66.284,-178.9668,2
CA-2017-126382,2017-06-03,2017-06-07,Furniture,Furnishings,South,35.168,9.6712,7
CA-2017-108329,2017-12-09,2017-12-14,Technology,Phones,West,444.768,44.4768,4
CA-2017-135860,2017-12-01,2017-12-07,Office Supplies,Storage,Central,83.92,5.8744,4
CA-2017-135860,2017-12-01,2017-12-07,Technology,Phones,Central,131.98,35.6346,2
CA-2017-135860,2017-12-01,2017-12-07,Office Supplies,Binders,Central,15.92,7.4824,4
CA-2017-135860,2017-12-01,2017-12-07,Office Supplies,Fasteners,Central,52.29,16.2099,9
CA-2017-135860,2017-12-01,2017-12-07,Office Supplies,Storage,Central,91.99,3.6796,1
CA-2015-101007,2015-02-09,2015-02-13,Technology,Accessories,Central,20.8,6.5,2
CA-2015-146262,2015-01-02,2015-01-09,Office Supplies,Labels,East,23.68,8.88,2
CA-2015-146262,2015-01-02,2015-01-09,Furniture,Bookcases,East,452.45,-244.323,5
CA-2015-146262,2015-01-02,2015-01-09,Technology,Phones,East,62.982,-14.6958,3
CA-2015-146262,2015-01-02,2015-01-09,Technology,Machines,East,1188,-950.4,9
CA-2015-146262,2015-01-02,2015-01-09,Technology,Accessories,East,89.584,4.4792,2
CA-2016-130162,2016-10-28,2016-11-01,Office Supplies,Storage,West,93.06,26.0568,6
CA-2016-130162,2016-10-28,2016-11-01,Technology,Phones,West,302.376,22.6782,3
CA-2015-169397,2015-12-24,2015-12-27,Office Supplies,Fasteners,East,5.584,1.8148,2
CA-2015-169397,2015-12-24,2015-12-27,Office Supplies,Paper,East,22.704,8.2302,6
CA-2015-169397,2015-12-24,2015-12-27,Office Supplies,Binders,East,19.776,-13.8432,4
CA-2015-169397,2015-12-24,2015-12-27,Furniture,Furnishings,East,72.704,19.0848,4
CA-2015-169397,2015-12-24,2015-12-27,Technology,Machines,East,479.988,-383.9904,4
CA-2015-169397,2015-12-24,2015-12-27,Office Supplies,Art,East,27.168,2.7168,2
CA-2015-163055,2015-08-09,2015-08-16,Office Supplies,Art,Central,2.2,0.968,1
CA-2015-163055,2015-08-09,2015-08-16,Furniture,Tables,Central,622.45,136.939,5
CA-2015-163055,2015-08-09,2015-08-16,Office Supplies,Storage,Central,21.98,0.2198,1
US-2015-145436,2015-02-28,2015-03-04,Furniture,Chairs,South,161.568,-28.2744,2
US-2015-145436,2015-02-28,2015-03-04,Furniture,Chairs,South,389.696,43.8408,8
US-2014-156216,2014-09-13,2014-09-17,Office Supplies,Binders,South,18.648,-12.432,7
US-2017-100930,2017-04-07,2017-04-12,Furniture,Tables,South,233.86,-102.048,2
US-2017-100930,2017-04-07,2017-04-12,Furniture,Tables,South,620.6145,-248.2458,3
US-2017-100930,2017-04-07,2017-04-12,Office Supplies,Binders,South,5.328,-3.552,2
US-2017-100930,2017-04-07,2017-04-12,Furniture,Furnishings,South,258.072,0,3
US-2017-100930,2017-04-07,2017-04-12,Technology,Accessories,South,617.976,-7.7247,3
CA-2017-160514,2017-11-12,2017-11-16,Office Supplies,Paper,West,10.56,4.752,2
CA-2016-157749,2016-06-04,2016-06-09,Office Supplies,Paper,Central,25.92,9.396,5
CA-2016-157749,2016-06-04,2016-06-09,Furniture,Furnishings,Central,419.68,-356.728,5
CA-2016-157749,2016-06-04,2016-06-09,Furniture,Furnishings,Central,11.688,-4.6752,3
CA-2016-157749,2016-06-04,2016-06-09,Technology,Phones,Central,31.984,11.1944,2
CA-2016-157749,2016-06-04,2016-06-09,Furniture,Tables,Central,177.225,-120.513,5
CA-2016-157749,2016-06-04,2016-06-09,Furniture,Furnishings,Central,4.044,-2.8308,3
CA-2016-157749,2016-06-04,2016-06-09,Office Supplies,Art,Central,7.408,1.2038,2
CA-2014-131926,2014-06-01,2014-06-06,Furniture,Chairs,Central,2001.86,580.5394,7
CA-2014-131926,2014-06-01,2014-06-06,Office Supplies,Storage,Central,166.72,41.68,2
CA-2014-131926,2014-06-01,2014-06-06,Office Supplies,Paper,Central,47.88,23.94,6
CA-2014-131926,2014-06-01,2014-06-06,Office Supplies,Appliances,Central,1503.25,496.0725,5
CA-2014-131926,2014-06-01,2014-06-06,Office Supplies,Paper,Central,25.92,12.4416,4
CA-2016-154739,2016-12-10,2016-12-15,Furniture,Chairs,West,321.568,28.1372,2
CA-2016-145625,2016-09-11,2016-09-17,Office Supplies,Paper,West,7.61,3.5767,1
CA-2016-145625,2016-09-11,2016-09-17,Technology,Accessories,West,3347.37,636.0003,13
CA-2016-146941,2016-12-10,2016-12-13,Office Supplies,Storage,East,80.58,22.5624,6
CA-2016-146941,2016-12-10,2016-12-13,Office Supplies,Envelopes,East,361.92,162.864,4
US-2015-159982,2015-11-28,2015-12-04,Furniture,Furnishings,Central,12.132,-8.4924,9
US-2015-159982,2015-11-28,2015-12-04,Office Supplies,Storage,Central,82.368,-19.5624,2
US-2015-159982,2015-11-28,2015-12-04,Office Supplies,Storage,Central,53.92,4.044,5
US-2015-159982,2015-11-28,2015-12-04,Technology,Phones,Central,647.904,56.6916,6
CA-2017-163139,2017-12-01,2017-12-03,Technology,Accessories,East,20.37,6.9258,3
CA-2017-163139,2017-12-01,2017-12-03,Office Supplies,Storage,East,221.55,6.6465,3
CA-2017-163139,2017-12-01,2017-12-03,Office Supplies,Binders,East,17.52,6.132,5
US-2017-155299,2017-06-08,2017-06-12,Office Supplies,Appliances,Central,1.624,-4.466,2
US-2014-106992,2014-09-19,2014-09-21,Technology,Machines,Central,3059.982,-509.997,3
US-2014-106992,2014-09-19,2014-09-21,Technology,Machines,Central,2519.958,-251.9958,7
CA-2016-125318,2016-06-06,2016-06-13,Technology,Phones,Central,328.224,28.7196,4
CA-2015-155040,2015-11-10,2015-11-15,Technology,Accessories,West,79.9,35.156,2
CA-2017-136826,2017-06-16,2017-06-20,Office Supplies,Art,South,14.016,4.7304,3
CA-2016-111010,2016-01-22,2016-01-28,Office Supplies,Fasteners,East,7.56,0.3024,6
US-2017-145366,2017-12-09,2017-12-13,Office Supplies,Storage,East,37.208,-7.4416,1
US-2017-145366,2017-12-09,2017-12-13,Office Supplies,Envelopes,East,57.576,21.591,3
CA-2017-163979,2017-12-28,2018-01-02,Office Supplies,Storage,West,725.84,210.4936,4
CA-2015-155334,2015-07-30,2015-07-31,Technology,Accessories,West,209.93,92.3692,7
CA-2015-155334,2015-07-30,2015-07-31,Furniture,Furnishings,West,5.28,2.3232,3
CA-2015-155334,2015-07-30,2015-07-31,Office Supplies,Binders,West,10.92,4.095,3
CA-2017-118136,2017-09-16,2017-09-17,Office Supplies,Paper,West,8.82,4.0572,2
CA-2017-118136,2017-09-16,2017-09-17,Office Supplies,Art,West,5.98,1.5548,1
CA-2017-132976,2017-10-13,2017-10-17,Office Supplies,Paper,East,11.648,4.0768,2
CA-2017-132976,2017-10-13,2017-10-17,Office Supplies,Paper,East,18.176,5.9072,4
CA-2017-132976,2017-10-13,2017-10-17,Office Supplies,Storage,East,59.712,5.9712,6
CA-2017-132976,2017-10-13,2017-10-17,Office Supplies,Labels,East,24.84,8.694,3
US-2015-161991,2015-09-26,2015-09-28,Office Supplies,Binders,Central,2.08,-3.432,5
US-2015-161991,2015-09-26,2015-09-28,Technology,Phones,Central,1114.4,376.11,7
CA-2015-130890,2015-11-02,2015-11-06,Furniture,Tables,West,1038.84,51.942,5
CA-2015-130883,2015-09-26,2015-10-02,Office Supplies,Paper,West,141.76,47.844,5
CA-2015-130883,2015-09-26,2015-10-02,Technology,Accessories,West,239.8,47.96,5
CA-2015-130883,2015-09-26,2015-10-02,Office Supplies,Paper,West,31.104,10.8864,6
CA-2016-112697,2016-12-18,2016-12-20,Office Supplies,Binders,South,254.058,-169.372,7
CA-2016-112697,2016-12-18,2016-12-20,Office Supplies,Appliances,South,194.528,24.316,2
CA-2016-112697,2016-12-18,2016-12-20,Office Supplies,Supplies,South,961.48,-204.3145,5
CA-2016-110772,2016-11-20,2016-11-24,Office Supplies,Fasteners,East,19.096,6.6836,7
CA-2016-110772,2016-11-20,2016-11-24,Office Supplies,Labels,East,18.496,6.2424,8
CA-2016-110772,2016-11-20,2016-11-24,Technology,Accessories,East,255.984,54.3966,2
CA-2016-110772,2016-11-20,2016-11-24,Furniture,Bookcases,East,86.97,-48.7032,3
CA-2014-111451,2014-12-26,2014-12-28,Furniture,Furnishings,West,300.416,78.8592,8
CA-2014-111451,2014-12-26,2014-12-28,Furniture,Chairs,West,230.352,20.1558,3
CA-2014-111451,2014-12-26,2014-12-28,Furniture,Furnishings,West,218.352,-24.5646,3
CA-2014-111451,2014-12-26,2014-12-28,Office Supplies,Binders,West,78.6,-62.88,5
CA-2014-111451,2014-12-26,2014-12-28,Office Supplies,Fasteners,West,27.552,9.2988,3
CA-2016-142545,2016-10-28,2016-11-03,Office Supplies,Paper,East,32.4,15.552,5
