ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-01,43789.64755913564,10323.90519384122,27680.261844318236,43789.64755913564,43789.64755913564,-25075.373540846133,-25075.373540846133,-25075.373540846133,-25075.373540846133,-25075.373540846133,-25075.373540846133,0.0,0.0,0.0,18714.27401828951
2015-02-01,44090.017368737455,4372.607905008678,21407.983675976902,44090.017368737455,44090.017368737455,-31195.421016133176,-31195.421016133176,-31195.421016133176,-31195.421016133176,-31195.421016133176,-31195.421016133176,0.0,0.0,0.0,12894.59635260428
2015-03-01,44361.31915421295,39070.13929341267,55421.76176335108,44361.31915421295,44361.31915421295,2508.4227755730335,2508.4227755730335,2508.4227755730335,2508.4227755730335,2508.4227755730335,2508.4227755730335,0.0,0.0,0.0,46869.74192978598
2015-04-01,44661.68898813224,23791.30481605137,41645.36555799548,44661.68898813224,44661.68898813224,-12211.79200113768,-12211.79200113768,-12211.79200113768,-12211.79200113768,-12211.79200113768,-12211.79200113768,0.0,0.0,0.0,32449.896986994565
2015-05-01,44952.39955876363,15545.417039964894,33344.56436081561,44952.39955876363,44952.39955876363,-20020.79319838336,-20020.79319838336,-20020.79319838336,-20020.79319838336,-20020.79319838336,-20020.79319838336,0.0,0.0,0.0,24931.606360380272
2015-06-01,45253.722865401425,20970.638452536212,37291.66979140547,45253.722865401425,45253.722865401425,-15099.211216348514,-15099.211216348514,-15099.211216348514,-15099.211216348514,-15099.211216348514,-15099.211216348514,0.0,0.0,0.0,30154.51164905291
2015-07-01,45545.47659139915,24054.21312276132,41246.66766708865,45545.47659139915,45545.47659139915,-12921.568959649627,-12921.568959649627,-12921.568959649627,-12921.568959649627,-12921.568959649627,-12921.568959649627,0.0,0.0,0.0,32623.907631749524
2015-08-01,45846.955441596794,31303.329516679583,48758.481297184415,45846.955441596794,45846.955441596794,-5916.14647483929,-5916.14647483929,-5916.14647483929,-5916.14647483929,-5916.14647483929,-5916.14647483929,0.0,0.0,0.0,39930.808966757504
2015-09-01,46148.9937650527,67329.71236903299,84045.61136983028,46148.9937650527,46148.9937650527,29357.98358333289,29357.98358333289,29357.98358333289,29357.98358333289,29357.98358333289,29357.98358333289,0.0,0.0,0.0,75506.97734838558
2015-10-01,46925.48752995767,25798.049469843714,43216.95346637245,46925.48752995767,46925.48752995767,-12294.074479014991,-12294.074479014991,-12294.074479014991,-12294.074479014991,-12294.074479014991,-12294.074479014991,0.0,0.0,0.0,34631.413050942676
2015-11-01,47727.86442035947,76367.65558803854,94026.44726181323,47727.86442035947,47727.86442035947,37403.59724406997,37403.59724406997,37403.59724406997,37403.59724406997,37403.59724406997,37403.59724406997,0.0,0.0,0.0,85131.46166442943
2015-12-01,48504.64995074191,65440.88896466304,82398.16513245272,48504.64995074191,48504.64995074191,25271.54602824919,25271.54602824919,25271.54602824919,25271.54602824919,25271.54602824919,25271.54602824919,0.0,0.0,0.0,73776.1959789911
2016-01-01,49307.69279318483,11466.831955183014,29505.31003652745,49307.69279318483,49307.69279318483,-28741.764894000466,-28741.764894000466,-28741.764894000466,-28741.764894000466,-28741.764894000466,-28741.764894000466,0.0,0.0,0.0,20565.927899184368
2016-02-01,50112.235698379984,15213.856923695495,33090.999999529224,50112.235698379984,50112.235698379984,-25913.483689534285,-25913.483689534285,-25913.483689534285,-25913.483689534285,-25913.483689534285,-25913.483689534285,0.0,0.0,0.0,24198.7520088457
2016-03-01,50864.87260969159,43851.83477148419,61411.78101521922,50864.87260969159,50864.87260969159,1728.8652839666545,1728.8652839666545,1728.8652839666545,1728.8652839666545,1728.8652839666545,1728.8652839666545,0.0,0.0,0.0,52593.737893658246
2016-04-01,51669.49988331755,24756.59666387802,42553.937858952784,51669.49988331755,51669.49988331755,-18327.160740551328,-18327.160740551328,-18327.160740551328,-18327.160740551328,-18327.160740551328,-18327.160740551328,0.0,0.0,0.0,33342.33914276622
2016-05-01,52449.356390999106,41013.56724155818,57844.69636749471,52449.356390999106,52449.356390999106,-2893.7868424324242,-2893.7868424324242,-2893.7868424324242,-2893.7868424324242,-2893.7868424324242,-2893.7868424324242,0.0,0.0,0.0,49555.56954856668
2016-06-01,53255.20811560339,34721.06089529257,51726.23618010345,53255.20811560339,53255.20811560339,-9924.757139537707,-9924.757139537707,-9924.757139537707,-9924.757139537707,-9924.757139537707,-9924.757139537707,0.0,0.0,0.0,43330.45097606568
2016-07-01,54035.35038630873,29446.356254577913,46277.138718114424,54035.35038630873,54035.35038630873,-15907.35025685916,-15907.35025685916,-15907.35025685916,-15907.35025685916,-15907.35025685916,-15907.35025685916,0.0,0.0,0.0,38128.000129449574
2016-08-01,54841.5752824804,28151.276333476853,45133.027979289414,54841.5752824804,54841.5752824804,-18206.573345126584,-18206.573345126584,-18206.573345126584,-18206.573345126584,-18206.573345126584,-18206.573345126584,0.0,0.0,0.0,36635.001937353816
2016-09-01,55648.1963454015,66246.18905221636,83278.1071817095,55648.1963454015,55648.1963454015,19532.173736929886,19532.173736929886,19532.173736929886,19532.173736929886,19532.173736929886,19532.173736929886,0.0,0.0,0.0,75180.37008233138
2016-10-01,56428.79737403482,53551.64865046427,71618.46817775912,56428.79737403482,56428.79737403482,6328.619701806301,6328.619701806301,6328.619701806301,6328.619701806301,6328.619701806301,6328.619701806301,0.0,0.0,0.0,62757.41707584112
2016-11-01,57235.4184740159,80480.72483639167,97022.84890815771,57235.4184740159,57235.4184740159,31411.858456956536,31411.858456956536,31411.858456956536,31411.858456956536,31411.858456956536,31411.858456956536,0.0,0.0,0.0,88647.27693097244
2016-12-01,58016.037299667114,77536.3851466522,95092.17815745519,58016.037299667114,58016.037299667114,28582.824706945226,28582.824706945226,28582.824706945226,28582.824706945226,28582.824706945226,28582.824706945226,0.0,0.0,0.0,86598.86200661234
2017-01-01,58822.67675284002,32764.95796714046,51039.406535515634,58822.67675284002,58822.67675284002,-17399.052244695904,-17399.052244695904,-17399.052244695904,-17399.052244695904,-17399.052244695904,-17399.052244695904,0.0,0.0,0.0,41423.624508144116
2017-02-01,59629.31626428003,9463.495550825934,27274.450249927588,59629.31626428003,59629.31626428003,-41480.858949496076,-41480.858949496076,-41480.858949496076,-41480.858949496076,-41480.858949496076,-41480.858949496076,0.0,0.0,0.0,18148.457314783955
2017-03-01,60357.893889839484,53520.81510755744,70901.76202039976,60357.893889839484,60357.893889839484,2066.4481648589276,2066.4481648589276,2066.4481648589276,2066.4481648589276,2066.4481648589276,2066.4481648589276,0.0,0.0,0.0,62424.34205469841
2017-04-01,61164.53340385175,36650.877720005905,54221.446214087744,61164.53340385175,61164.53340385175,-16174.728656695233,-16174.728656695233,-16174.728656695233,-16174.728656695233,-16174.728656695233,-16174.728656695233,0.0,0.0,0.0,44989.804747156515
2017-05-01,61945.15228837974,45059.66851232525,61703.13700322251,61945.15228837974,61945.15228837974,-8556.332163848956,-8556.332163848956,-8556.332163848956,-8556.332163848956,-8556.332163848956,-8556.332163848956,0.0,0.0,0.0,53388.82012453078
2017-06-01,62751.79180239199,42556.78749744028,59967.24452147595,62751.79180239199,62751.79180239199,-11756.618466260079,-11756.618466260079,-11756.618466260079,-11756.618466260079,-11756.618466260079,-11756.618466260079,0.0,0.0,0.0,50995.17333613191
2017-07-01,63532.41068691998,39879.60576977282,56999.876110379046,63532.41068691998,63532.41068691998,-15031.191199442816,-15031.191199442816,-15031.191199442816,-15031.191199442816,-15031.191199442816,-15031.191199442816,0.0,0.0,0.0,48501.21948747717
2017-08-01,64339.05020093224,41765.501112345504,58804.67850994273,64339.05020093224,64339.05020093224,-14140.543041718021,-14140.543041718021,-14140.543041718021,-14140.543041718021,-14140.543041718021,-14140.543041718021,0.0,0.0,0.0,50198.50715921422
2017-09-01,65145.6897149445,79190.0517092912,96894.90772514117,65145.6897149445,65145.6897149445,22958.31180728544,22958.31180728544,22958.31180728544,22958.31180728544,22958.31180728544,22958.31180728544,0.0,0.0,0.0,88104.00152222994
2017-10-01,65926.30859947248,58112.33558736819,74918.67209972387,65926.30859947248,65926.30859947248,158.16514694634304,158.16514694634304,158.16514694634304,158.16514694634304,158.16514694634304,158.16514694634304,0.0,0.0,0.0,66084.47374641882
2017-11-01,66732.94811348473,91731.51289850843,108782.06410477252,66732.94811348473,66732.94811348473,33379.100760504225,33379.100760504225,33379.100760504225,33379.100760504225,33379.100760504225,33379.100760504225,0.0,0.0,0.0,100112.04887398896
2017-12-01,67513.56699801273,86104.18912591675,103785.42875050617,67513.56699801273,67513.56699801273,27515.03255071749,27515.03255071749,27515.03255071749,27515.03255071749,27515.03255071749,27515.03255071749,0.0,0.0,0.0,95028.59954873021
2017-12-31,68294.18588254071,24529.87634258571,41321.76815217251,68285.09072857944,68304.40170450085,-35714.29455101438,-35714.29455101438,-35714.29455101438,-35714.29455101438,-35714.29455101438,-35714.29455101438,0.0,0.0,0.0,32579.891331526327
2018-01-31,69100.82539655297,45542.592313687295,62834.30200027565,69065.9931788195,69134.66377469122,-15099.968546465187,-15099.968546465187,-15099.968546465187,-15099.968546465187,-15099.968546465187,-15099.968546465187,0.0,0.0,0.0,54000.85685008779
2018-02-28,69829.40302211243,64132.210026169974,80579.2670515698,69761.65123088082,69897.17256981708,2555.7165142784024,2555.7165142784024,2555.7165142784024,2555.7165142784024,2555.7165142784024,2555.7165142784024,0.0,0.0,0.0,72385.11953639083
2018-03-31,70636.04253612469,54965.51245677963,71382.5117501154,70530.5608281334,70745.11397149632,-7133.011858912431,-7133.011858912431,-7133.011858912431,-7133.011858912431,-7133.011858912431,-7133.011858912431,0.0,0.0,0.0,63503.03067721226
2018-04-30,71416.66142065267,24855.04365230555,42935.15594313695,71266.36799597305,71569.53030429667,-37459.44814659077,-37459.44814659077,-37459.44814659077,-37459.44814659077,-37459.44814659077,-37459.44814659077,0.0,0.0,0.0,33957.213274061905
2018-05-31,72223.30093466493,43805.119986709,61641.19153104273,72024.18827386748,72431.95754642146,-19258.94748350061,-19258.94748350061,-19258.94748350061,-19258.94748350061,-19258.94748350061,-19258.94748350061,0.0,0.0,0.0,52964.35345116432
